number,id,title,category,style,author,source_url,image_url,note,collection_date
1,noun-campfire-2170769,Campfire,campfire,solid,Aficons,https://thenounproject.com/icon/campfire-2170769/,https://static.thenounproject.com/png/campfire-icon-2170769-512.png,작은 불꽃 중심의 플랫한 야외 장작불 마크입니다.,2026-09-05
2,noun-campfire-7451421,Campfire,campfire,solid,Agan24,https://thenounproject.com/icon/campfire-7451421/,https://static.thenounproject.com/png/campfire-icon-7451421-512.png,작은 불꽃과 장작을 균형 있게 쌓은 현대적 플랫 캠프파이어입니다.,2026-09-05
3,noun-campfire-1751350,Campfire,campfire,solid,Ates Evren Aydinel,https://thenounproject.com/icon/campfire-1751350/,https://static.thenounproject.com/png/campfire-icon-1751350-512.png,야외 불꽃과 나무 연료를 응축한 작은 플랫 심벌입니다.,2026-09-05
4,noun-campfire-15754,Campfire,campfire,solid,CT,https://thenounproject.com/icon/campfire-15754/,https://static.thenounproject.com/png/campfire-icon-15754-512.png,"불꽃 중심의 작은 장작불 실루엣으로, 메뉴 막대 크기에도 읽히는 형태입니다.",2026-09-05
5,noun-campfire-15126,Campfire,campfire,line,Darren Northcott,https://thenounproject.com/icon/campfire-15126/,https://static.thenounproject.com/png/campfire-icon-15126-512.png,윤곽선 위주로 불꽃과 나무를 분리한 미니멀 장작불입니다.,2026-09-05
6,flaticon-66656-freepik,Campfire,campfire,solid,Freepik,https://www.flaticon.com/free-icon/campfire_66656,https://cdn-icons-png.flaticon.com/512/66/66656.png,불꽃과 교차 장작의 윤곽을 모두 면으로 처리한 대비 강한 작은 심벌입니다.,2026-09-05
7,freepik-9023146-generic-detailed-outline,Campfire Generic Detailed Outline Icon,campfire,line,Freepik,https://www.freepik.com/icon/campfire_9023146,https://cdn-icons-png.flaticon.com/512/9023/9023146.png,삼각형 장작 기반 위에 두 겹 불꽃만 올린 균일 선폭의 정돈된 외곽선입니다.,2026-09-05
8,icons8-102276-ios-glyph,Campfire Icon in iOS Glyph Style,campfire,solid,Icons8,https://icons8.com/icon/102276/campfire,https://img.icons8.com/ios11/1200/campfire.jpg,한 덩어리 불꽃과 교차 장작을 검은 면으로만 정리한 아주 작은 글리프형입니다.,2026-09-05
9,icons8-2512-parakeet-partial-filled,Parakeet Partial-Filled Campfire Icon,campfire,line,Icons8,https://icons8.com/icon/2512/campfire,https://img.icons8.com/parakeet-partial-filled/1200/campfire.jpg,둥근 외곽선 안에 불꽃 일부만 채워 장작과 분리한 균형 잡힌 아이콘입니다.,2026-09-05
10,icons8-wpyfc5phm6yy-softteal-line,Soft Teal Line Campfire Icon,campfire,solid,Icons8,https://icons8.com/icon/WpYfc5Phm6yY/campfire,https://img.icons8.com/softteal-line/1200/campfire.jpg,하나의 큰 불꽃과 교차 장작만 일정한 둥근 선으로 그린 여백 많은 선형입니다.,2026-09-05
11,noun-campfire-1120066,Campfire,campfire,line,Kate Maldjian,https://thenounproject.com/icon/campfire-1120066/,https://static.thenounproject.com/png/campfire-icon-1120066-512.png,불꽃과 장작을 가는 윤곽선으로 압축한 미니멀 야외 불 형태입니다.,2026-09-05
12,noun-campfire-67681,Campfire,campfire,solid,Lauren Hallden,https://thenounproject.com/icon/campfire-67681/,https://static.thenounproject.com/png/campfire-icon-67681-512.png,불꽃과 통나무를 두세 덩어리로 단순화한 플랫 장작불 마크입니다.,2026-09-05
13,noun-campfire-8316445,Campfire,campfire,line,Lewen Design,https://thenounproject.com/icon/campfire-8316445/,https://static.thenounproject.com/png/campfire-icon-8316445-512.png,불꽃과 연료를 최소 선으로 정리한 캠프파이어 형태입니다.,2026-09-05
14,noun-campfire-7380,Campfire,campfire,line,Megan Mitchell,https://thenounproject.com/icon/campfire-7380/,https://static.thenounproject.com/png/campfire-icon-7380-512.png,가느다란 윤곽으로 불꽃과 장작 관계를 보여 주는 캠프파이어 마크입니다.,2026-09-05
15,noun-campfire-36204,Campfire,campfire,solid,Mister Pixel,https://thenounproject.com/icon/campfire-36204/,https://static.thenounproject.com/png/campfire-icon-36204-512.png,장작불의 중심 불꽃을 단단한 플랫 덩어리로 정리한 아이콘입니다.,2026-09-05
16,noun-campfire-196,Campfire,campfire,solid,National Park Service,https://thenounproject.com/icon/campfire-196/,https://static.thenounproject.com/png/campfire-icon-196-512.png,국립공원 표지처럼 즉시 읽히도록 정리된 장작불 실루엣입니다.,2026-09-05
17,noun-campfire-400471,Campfire,campfire,solid,Nicole Yip,https://thenounproject.com/icon/campfire-400471/,https://static.thenounproject.com/png/campfire-icon-400471-512.png,야외 장작불을 간결한 평면 도형 조합으로 읽히게 한 마크입니다.,2026-09-05
18,iconfinder-11794213-ognition,Campfire Fire Warm Camping Bonfire Wood Flame,campfire,solid,Ognition,https://www.iconfinder.com/icons/11794213/campfire_fire_warm_camping_bonfire_wood_flame_ognition_icon,https://cdn3.iconfinder.com/data/icons/winter-and-christmas-13/512/campfire_fire_warm_camping_bonfire_wood_fire_flame_ognition_23-512.png,굵은 선 두께를 통일해 불꽃과 X자 장작을 간결하게 보이게 한 선형입니다.,2026-09-05
19,noun-campfire-15120,Campfire,campfire,solid,Pavel N.,https://thenounproject.com/icon/campfire-15120/,https://static.thenounproject.com/png/campfire-icon-15120-512.png,야외 모닥불을 빠르게 인식하도록 불꽃과 장작 윤곽을 합친 마크입니다.,2026-09-05
20,noun-campfire-2500079,Campfire,campfire,solid,Prashanth Rapolu,https://thenounproject.com/icon/campfire-2500079/,https://static.thenounproject.com/png/campfire-icon-2500079-512.png,불꽃과 장작을 분리해 읽히는 간결한 캠프파이어 아이콘입니다.,2026-09-05
21,noun-campfire-68647,Campfire,campfire,solid,Ruben Vh,https://thenounproject.com/icon/campfire-68647/,https://static.thenounproject.com/png/campfire-icon-68647-512.png,불꽃 덩어리와 통나무층을 대비시킨 캠프파이어 실루엣입니다.,2026-09-05
22,noun-campfire-98440,Campfire,campfire,line,Sascha Elmers,https://thenounproject.com/icon/campfire-98440/,https://static.thenounproject.com/png/campfire-icon-98440-512.png,선의 굵기와 여백으로 불꽃·장작을 분리하는 매끈한 라인 형태입니다.,2026-09-05
23,noun-campfire-697888,Campfire,campfire,solid,Smashicons,https://thenounproject.com/icon/campfire-697888/,https://static.thenounproject.com/png/campfire-icon-697888-512.png,불꽃의 위아래 축과 장작 받침이 선명한 컴팩트 아이콘입니다.,2026-09-05
24,flaticon-481398-those-icons,Campfire,campfire,solid,Those Icons,https://www.flaticon.com/free-icon/campfire_481398,https://cdn-icons-png.flaticon.com/512/481/481398.png,두 개의 굵은 장작과 둥근 불꽃을 단순한 검은 면으로 압축한 형태입니다.,2026-09-05
25,noun-campfire-154748,Campfire,campfire,solid,Transfer Studio,https://thenounproject.com/icon/campfire-154748/,https://static.thenounproject.com/png/campfire-icon-154748-512.png,캠프파이어의 불꽃과 교차 장작을 단순한 표지 형태로 다룬 아이콘입니다.,2026-09-05
